sender,sender_type,sender_id,timestamp,meta,,German,Swahili,correct,distractor1,distractor2,distractor3,distractors,duration,enc,ended_on,response,response_,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,x
Deep Question,html.Page,3_0_5_0_5_0_0,2023-01-08T10:23:01.777Z,,,Können,unaweza,,,,,,17953.64900000149,d,form submission,,udaweza,,735201.4000000004,735201.1000000015,717230.785,717237.4000000004,717247.451,735214.734,,5
"""Richtig""-Screen",canvas.Screen,3_0_5_0_5_0_1,2023-01-08T10:23:01.780Z,,sdf,Können,unaweza,,,,,,NaN,d,skipped,,,,735204.4000000004,735201.1000000015,,735204.3000000007,,735214.734,,5
"""Falsch""-Screen",canvas.Screen,3_0_5_0_5_0_2,2023-01-08T10:23:06.774Z,,sdf,Können,unaweza,0,,,,,4999.79999999993,d,timeout,,,,740198.8000000007,740197.868,735198.068,735205,735214.734,740214.534,,5
deep,flow.Sequence,3_0_5_0_5_0,2023-01-08T10:23:06.775Z,,sdf,Können,unaweza,,,,,,22950.417000000016,d,completion,,,,740199.3000000007,740197.868,717230.785,717237.4000000004,717247.451,740214.534,,5
shallow,flow.Sequence,3_0_5_0_5_1,2023-01-08T10:23:06.775Z,,sdf,Können,unaweza,,,,,,NaN,d,skipped,,,,740199.5,740197.868,,740199.4000000004,,740214.534,,5
task  ,flow.Sequence,3_0_5_0_5,2023-01-08T10:23:06.775Z,,sdf,Können,unaweza,,,,,,22950.417000000016,d,completion,,,,740199.7000000011,740197.868,717230.785,717237.3000000007,717247.451,740214.534,,5
deep,flow.Sequence,3_0_5_0_6_0,2023-01-08T10:23:06.776Z,,sdf,Kontrolle,kudhibiti,,mbinguni,kufunga,utegemezi,,NaN,s,skipped,,,,740200,740197.868,,740199.9000000004,,740214.534,,5
Shallow Question,html.Page,3_0_5_0_6_1_0,2023-01-08T10:23:14.412Z,,,Kontrolle,kudhibiti,,mbinguni,kufunga,utegemezi,,7621.566000001505,s,form submission,,kudhibiti,,747836.7000000011,747836.1000000015,740197.868,740200.2000000011,740214.534,747848.17,,5
"""Richtig""-Screen",canvas.Screen,3_0_5_0_6_1_1,2023-01-08T10:23:19.409Z,,sdf,Kontrolle,kudhibiti,1,mbinguni,kufunga,utegemezi,,4999.79999999993,s,timeout,,,,752833.8000000007,752831.304,747831.504,747840.4000000004,747848.17,752847.97,,5
"""Falsch""-Screen",canvas.Screen,3_0_5_0_6_1_2,2023-01-08T10:23:19.414Z,,sdf,Kontrolle,kudhibiti,,mbinguni,kufunga,utegemezi,,NaN,s,skipped,,,,752838.7000000011,752831.304,,752838.6000000015,,752847.97,,5
shallow,flow.Sequence,3_0_5_0_6_1,2023-01-08T10:23:19.414Z,,sdf,Kontrolle,kudhibiti,,mbinguni,kufunga,utegemezi,,12616.770000000019,s,completion,,,,752838.8000000007,752831.304,740197.868,740200.1000000015,740214.534,752847.97,,5
task  ,flow.Sequence,3_0_5_0_6,2023-01-08T10:23:19.414Z,,sdf,Kontrolle,kudhibiti,,mbinguni,kufunga,utegemezi,,12616.770000000019,s,completion,,,,752839,752831.304,740197.868,740199.9000000004,740214.534,752847.97,,5
Deep Question,html.Page,3_0_5_0_7_0_0,2023-01-08T10:23:26.994Z,,,Kreativität,ubunifu,,,,,,7570.030000000028,d,form submission,,udhaak,,760418.3000000007,760418,752831.304,752839.1000000015,752847.97,760431.686,,5
"""Richtig""-Screen",canvas.Screen,3_0_5_0_7_0_1,2023-01-08T10:23:26.996Z,,sdf,Kreativität,ubunifu,,,,,,NaN,d,skipped,,,,760421.1000000015,760418,,760421,,760431.686,,5
"""Falsch""-Screen",canvas.Screen,3_0_5_0_7_0_2,2023-01-08T10:23:31.992Z,,sdf,Kreativität,ubunifu,0,,,,,4999.800000000047,d,timeout,,,,765416.8000000007,765414.82,760415.02,760421.6000000015,760431.686,765431.486,,5
deep,flow.Sequence,3_0_5_0_7_0,2023-01-08T10:23:31.992Z,,sdf,Kreativität,ubunifu,,,,,,12566.849999999977,d,completion,,,,765417.1000000015,765414.82,752831.304,752839,752847.97,765431.486,,5
shallow,flow.Sequence,3_0_5_0_7_1,2023-01-08T10:23:31.993Z,,sdf,Kreativität,ubunifu,,,,,,NaN,d,skipped,,,,765417.2000000011,765414.82,,765417.2000000011,,765431.486,,5
task  ,flow.Sequence,3_0_5_0_7,2023-01-08T10:23:31.993Z,,sdf,Kreativität,ubunifu,,,,,,12566.849999999977,d,completion,,,,765417.4000000004,765414.82,752831.304,752839,752847.97,765431.486,,5
block,flow.Loop,3_0_5_0,2023-01-08T10:23:31.993Z,,sdf,,,,,,,,103235.09199999995,,completion,,,,765417.4000000004,765414.82,662163.062,662178.5,662179.728,765431.486,,5
weiter,canvas.Screen,3_0_5_1,2023-01-08T10:23:33.300Z,,sdf,,,,,,,,1289.6140000014566,,response,sdf,,keypress(Space),766724.4000000004,766721.1000000015,765414.82,765417.5,765431.486,766915.335,,5
check continue,flow.Sequence,3_0_5,2023-01-08T10:23:33.300Z,,sdf,,,,,,,,104541.37200000149,,completion,,,,766724.9000000004,766721.1000000015,662163.062,662178.5,662179.728,766915.335,,5
check continue,flow.Sequence,3_0_6,2023-01-08T10:23:33.326Z,,dfs,,,,,,,,NaN,,skipped,,,,766751.2000000011,766721.1000000015,,766751.1000000015,,766915.335,,6
check continue,flow.Sequence,3_0_7,2023-01-08T10:23:33.341Z,,df,,,,,,,,NaN,,skipped,,,,766765.7000000011,766721.1000000015,,766765.6000000015,,766915.335,,7
check continue,flow.Sequence,3_0_8,2023-01-08T10:23:33.353Z,,dfs,,,,,,,,NaN,,skipped,,,,766777.4000000004,766721.1000000015,,766777.3000000007,,766915.335,,8
check continue,flow.Sequence,3_0_9,2023-01-08T10:23:33.362Z,,dsf,,,,,,,,NaN,,skipped,,,,766786.9000000004,766721.1000000015,,766786.9000000004,,766915.335,,9
check continue,flow.Sequence,3_0_10,2023-01-08T10:23:33.371Z,,df,,,,,,,,NaN,,skipped,,,,766795.9000000004,766721.1000000015,,766795.9000000004,,766915.335,,10
check continue,flow.Sequence,3_0_11,2023-01-08T10:23:33.379Z,,dfs,,,,,,,,NaN,,skipped,,,,766803.8000000007,766721.1000000015,,766803.8000000007,,766915.335,,11
check continue,flow.Sequence,3_0_12,2023-01-08T10:23:33.387Z,,dsf,,,,,,,,NaN,,skipped,,,,766811.5,766721.1000000015,,766811.5,,766915.335,,12
check continue,flow.Sequence,3_0_13,2023-01-08T10:23:33.394Z,,dsf,,,,,,,,NaN,,skipped,,,,766818.4000000004,766721.1000000015,,766818.4000000004,,766915.335,,13
check continue,flow.Sequence,3_0_14,2023-01-08T10:23:33.401Z,,,,,,,,,,NaN,,skipped,,,,766825.4000000004,766721.1000000015,,766825.4000000004,,766915.335,,14
check continue,flow.Sequence,3_0_15,2023-01-08T10:23:33.407Z,,,,,,,,,,NaN,,skipped,,,,766831.9000000004,766721.1000000015,,766831.9000000004,,766915.335,,15
check continue,flow.Sequence,3_0_16,2023-01-08T10:23:33.414Z,,,,,,,,,,NaN,,skipped,,,,766838.3000000007,766721.1000000015,,766838.3000000007,,766915.335,,16
check continue,flow.Sequence,3_0_17,2023-01-08T10:23:33.421Z,,,,,,,,,,NaN,,skipped,,,,766845.5,766721.1000000015,,766845.5,,766915.335,,17
check continue,flow.Sequence,3_0_18,2023-01-08T10:23:33.427Z,,,,,,,,,,NaN,,skipped,,,,766851.6000000015,766721.1000000015,,766851.6000000015,,766915.335,,18
check continue,flow.Sequence,3_0_19,2023-01-08T10:23:33.433Z,,,,,,,,,,NaN,,skipped,,,,766857.9000000004,766721.1000000015,,766857.9000000004,,766915.335,,19
check continue,flow.Sequence,3_0_20,2023-01-08T10:23:33.440Z,,,,,,,,,,NaN,,skipped,,,,766864.3000000007,766721.1000000015,,766864.2000000011,,766915.335,,20
check continue,flow.Sequence,3_0_21,2023-01-08T10:23:33.446Z,,,,,,,,,,NaN,,skipped,,,,766870.6000000015,766721.1000000015,,766870.6000000015,,766915.335,,21
check continue,flow.Sequence,3_0_22,2023-01-08T10:23:33.452Z,,,,,,,,,,NaN,,skipped,,,,766876.5,766721.1000000015,,766876.5,,766915.335,,22
check continue,flow.Sequence,3_0_23,2023-01-08T10:23:33.458Z,,,,,,,,,,NaN,,skipped,,,,766882.9000000004,766721.1000000015,,766882.8000000007,,766915.335,,23
check continue,flow.Sequence,3_0_24,2023-01-08T10:23:33.464Z,,,,,,,,,,NaN,,skipped,,,,766888.8000000007,766721.1000000015,,766888.8000000007,,766915.335,,24
check continue,flow.Sequence,3_0_25,2023-01-08T10:23:33.471Z,,,,,,,,,,NaN,,skipped,,,,766895.8000000007,766721.1000000015,,766895.8000000007,,766915.335,,25
check continue,flow.Sequence,3_0_26,2023-01-08T10:23:33.477Z,,,,,,,,,,NaN,,skipped,,,,766902,766721.1000000015,,766902,,766915.335,,26
check continue,flow.Sequence,3_0_27,2023-01-08T10:23:33.484Z,,,,,,,,,,NaN,,skipped,,,,766908.4000000004,766721.1000000015,,766908.4000000004,,766915.335,,27
check continue,flow.Sequence,3_0_28,2023-01-08T10:23:33.490Z,,,,,,,,,,NaN,,skipped,,,,766914.2000000011,766721.1000000015,,766914.1000000015,,766915.335,,28
check continue,flow.Sequence,3_0_29,2023-01-08T10:23:33.501Z,,,,,,,,,,NaN,,skipped,,,,766925.9000000004,766721.1000000015,,766925.8000000007,,766915.335,,29
until continue,flow.Loop,3_0,2023-01-08T10:23:33.501Z,,,,,,,,,,581780.6840000015,,completion,,,,766926,766721.1000000015,184873.752,184935.40000000037,184940.416,766915.335,,
block 1,flow.Sequence,3,2023-01-08T10:23:33.501Z,,,,,,,,,,581780.6840000015,,completion,,,,766926,766721.1000000015,184873.752,184935.30000000075,184940.416,766915.335,,
1.Part Over,canvas.Screen,4,2023-01-08T10:23:35.887Z,,,,,,,,,,2393.1650000000373,,response,,,keypress(Space),769311.9000000004,769308.5,766715.343,766926,766915.335,769365.237,,
Deep Question,html.Page,5_0_0_0_0_0_0,2023-01-08T10:23:39.009Z,,,Papier,karatasi,,,,,,3067.7630000000354,d,form submission,,1,,772433.6000000015,772433,769348.571,769363.7000000011,769365.237,772448.447,,0
"""Richtig""-Screen",canvas.Screen,5_0_0_0_0_0_1,2023-01-08T10:23:39.010Z,,sdf,Papier,karatasi,,,,,,NaN,d,skipped,,,,772435.2000000011,772433,,772435.1000000015,,772448.447,,0
"""Falsch""-Screen",canvas.Screen,5_0_0_0_0_0_2,2023-01-08T10:23:44.009Z,,sdf,Papier,karatasi,0,,,,,4999.79999999993,d,timeout,,,,777434.3000000007,777431.581,772431.781,772435.9000000004,772448.447,777448.247,,0
deep,flow.Sequence,5_0_0_0_0_0,2023-01-08T10:23:44.010Z,,sdf,Papier,karatasi,,,,,,8066.344000000041,d,completion,,,,777434.9000000004,777431.581,769348.571,769363.7000000011,769365.237,777448.247,,0
shallow,flow.Sequence,5_0_0_0_0_1,2023-01-08T10:23:44.010Z,,sdf,Papier,karatasi,,,,,,NaN,d,skipped,,,,777435.1000000015,777431.581,,777435,,777448.247,,0
task  ,flow.Sequence,5_0_0_0_0,2023-01-08T10:23:44.010Z,,sdf,Papier,karatasi,,,,,,8066.344000000041,d,completion,,,,777435.4000000004,777431.581,769348.571,769363.7000000011,769365.237,777448.247,,0
deep,flow.Sequence,5_0_0_0_1_0,2023-01-08T10:23:44.011Z,,sdf,Vorwurf,mashtaka,,msukumo,mtangulizi,uenyekiti,,NaN,s,skipped,,,,777435.6000000015,777431.581,,777435.6000000015,,777448.247,,0
Shallow Question,html.Page,5_0_0_0_1_1_0,2023-01-08T10:23:48.379Z,,,Vorwurf,mashtaka,,msukumo,mtangulizi,uenyekiti,,4355.053000000771,s,form submission,,msukumo,,781803.8000000007,781803.3000000007,777431.581,777435.7000000011,777448.247,781815.34,,0
"""Richtig""-Screen",canvas.Screen,5_0_0_0_1_1_1,2023-01-08T10:23:48.383Z,,sdf,Vorwurf,mashtaka,,msukumo,mtangulizi,uenyekiti,,NaN,s,skipped,,,,781807.6000000015,781803.3000000007,,781807.4000000004,,781815.34,,0
"""Falsch""-Screen",canvas.Screen,5_0_0_0_1_1_2,2023-01-08T10:23:53.375Z,,sdf,Vorwurf,mashtaka,0,msukumo,mtangulizi,uenyekiti,,4999.800000000047,s,timeout,,,,786800.4000000004,786798.474,781798.674,781808.7000000011,781815.34,786815.14,,0
shallow,flow.Sequence,5_0_0_0_1_1,2023-01-08T10:23:53.376Z,,sdf,Vorwurf,mashtaka,,msukumo,mtangulizi,uenyekiti,,9350.227000000072,s,completion,,,,786801,786798.474,777431.581,777435.7000000011,777448.247,786815.14,,0
task  ,flow.Sequence,5_0_0_0_1,2023-01-08T10:23:53.376Z,,sdf,Vorwurf,mashtaka,,msukumo,mtangulizi,uenyekiti,,9350.227000000072,s,completion,,,,786801.2000000011,786798.474,777431.581,777435.4000000004,777448.247,786815.14,,0
Deep Question,html.Page,5_0_0_0_2_0_0,2023-01-08T10:23:56.608Z,,,Niveau,kiwango,,,,,,3217.359999999986,d,form submission,,1,,790033.1000000015,790032.5,786798.474,786801.5,786815.14,790032.212,,0
"""Richtig""-Screen",canvas.Screen,5_0_0_0_2_0_1,2023-01-08T10:23:56.611Z,,sdf,Niveau,kiwango,,,,,,NaN,d,skipped,,,,790036.1000000015,790032.5,,790035.9000000004,,790032.212,,0
"""Falsch""-Screen",canvas.Screen,5_0_0_0_2_0_2,2023-01-08T10:24:01.593Z,,sdf,Niveau,kiwango,0,,,,,4999.79999999993,d,timeout,,,,795018.1000000015,795015.346,790015.546,790036.7000000011,790032.212,795032.012,,0
deep,flow.Sequence,5_0_0_0_2_0,2023-01-08T10:24:01.594Z,,sdf,Niveau,kiwango,,,,,,8200.206000000006,d,completion,,,,795018.6000000015,795015.346,786798.474,786801.4000000004,786815.14,795032.012,,0
shallow,flow.Sequence,5_0_0_0_2_1,2023-01-08T10:24:01.594Z,,sdf,Niveau,kiwango,,,,,,NaN,d,skipped,,,,795018.9000000004,795015.346,,795018.8000000007,,795032.012,,0
task  ,flow.Sequence,5_0_0_0_2,2023-01-08T10:24:01.594Z,,sdf,Niveau,kiwango,,,,,,8200.206000000006,d,completion,,,,795019.2000000011,795015.346,786798.474,786801.4000000004,786815.14,795032.012,,0
Deep Question,html.Page,5_0_0_0_3_0_0,2023-01-08T10:24:03.919Z,,,Lawine,banguko,,,,,,2311.588000001502,d,form submission,,1,,797344.2000000011,797343.6000000015,795015.346,795019.4000000004,795032.012,797348.586,,0
"""Richtig""-Screen",canvas.Screen,5_0_0_0_3_0_1,2023-01-08T10:24:03.923Z,,sdf,Lawine,banguko,,,,,,NaN,d,skipped,,,,797348,797343.6000000015,,797347.8000000007,,797348.586,,0
"""Falsch""-Screen",canvas.Screen,5_0_0_0_3_0_2,2023-01-08T10:24:08.908Z,,sdf,Lawine,banguko,0,,,,,4999.800000000047,d,timeout,,,,802333.7000000011,802331.72,797331.92,797348.9000000004,797348.586,802348.386,,0
deep,flow.Sequence,5_0_0_0_3_0,2023-01-08T10:24:08.909Z,,sdf,Lawine,banguko,,,,,,7299.707999999984,d,completion,,,,802334.2000000011,802331.72,795015.346,795019.3000000007,795032.012,802348.386,,0
shallow,flow.Sequence,5_0_0_0_3_1,2023-01-08T10:24:08.909Z,,sdf,Lawine,banguko,,,,,,NaN,d,skipped,,,,802334.4000000004,802331.72,,802334.4000000004,,802348.386,,0
task  ,flow.Sequence,5_0_0_0_3,2023-01-08T10:24:08.909Z,,sdf,Lawine,banguko,,,,,,7299.707999999984,d,completion,,,,802334.7000000011,802331.72,795015.346,795019.2000000011,795032.012,802348.386,,0
deep,flow.Sequence,5_0_0_0_4_0,2023-01-08T10:24:08.910Z,,sdf,Körper,kiwiliwili,,mapambano,mpatanishi,kiolezo,,NaN,s,skipped,,,,802334.9000000004,802331.72,,802334.8000000007,,802348.386,,0
Shallow Question,html.Page,5_0_0_0_4_1_0,2023-01-08T10:24:15.179Z,,,Körper,kiwiliwili,,mapambano,mpatanishi,kiolezo,,6254.914000000688,s,form submission,,kiolezo,,808603.9000000004,808603.3000000007,802331.72,802335.1000000015,802348.386,808615.648,,0
"""Richtig""-Screen",canvas.Screen,5_0_0_0_4_1_1,2023-01-08T10:24:15.182Z,,sdf,Körper,kiwiliwili,,mapambano,mpatanishi,kiolezo,,NaN,s,skipped,,,,808607.4000000004,808603.3000000007,,808607.1000000015,,808615.648,,0
"""Falsch""-Screen",canvas.Screen,5_0_0_0_4_1_2,2023-01-08T10:24:20.175Z,,sdf,Körper,kiwiliwili,0,mapambano,mpatanishi,kiolezo,,4999.79999999993,s,timeout,,,,813600.3000000007,813598.782,808598.982,808608.6000000015,808615.648,813615.448,,0
shallow,flow.Sequence,5_0_0_0_4_1,2023-01-08T10:24:20.176Z,,sdf,Körper,kiwiliwili,,mapambano,mpatanishi,kiolezo,,11250.39599999995,s,completion,,,,813600.9000000004,813598.782,802331.72,802335.1000000015,802348.386,813615.448,,0
task  ,flow.Sequence,5_0_0_0_4,2023-01-08T10:24:20.176Z,,sdf,Körper,kiwiliwili,,mapambano,mpatanishi,kiolezo,,11250.39599999995,s,completion,,,,813601,813598.782,802331.72,802334.8000000007,802348.386,813615.448,,0
deep,flow.Sequence,5_0_0_0_5_0,2023-01-08T10:24:20.176Z,,sdf,Entwicklung,maendeleo,,uangavu,mshindwa,badiliko,,NaN,s,skipped,,,,813601.4000000004,813598.782,,813601.3000000007,,813615.448,,0
Shallow Question,html.Page,5_0_0_0_5_1_0,2023-01-08T10:24:26.412Z,,,Entwicklung,maendeleo,,uangavu,mshindwa,badiliko,,6221.552000000025,s,form submission,,uangavu,,819837.7000000011,819837,813598.782,813601.5,813615.448,819849.119,,0
"""Richtig""-Screen",canvas.Screen,5_0_0_0_5_1_1,2023-01-08T10:24:26.416Z,,sdf,Entwicklung,maendeleo,,uangavu,mshindwa,badiliko,,NaN,s,skipped,,,,819841.1000000015,819837,,819841,,819849.119,,0
"""Falsch""-Screen",canvas.Screen,5_0_0_0_5_1_2,2023-01-08T10:24:31.409Z,,sdf,Entwicklung,maendeleo,0,uangavu,mshindwa,badiliko,,4999.800000000047,s,timeout,,,,824834,824832.253,819832.453,819841.7000000011,819849.119,824848.919,,0
shallow,flow.Sequence,5_0_0_0_5_1,2023-01-08T10:24:31.409Z,,sdf,Entwicklung,maendeleo,,uangavu,mshindwa,badiliko,,11216.805000000051,s,completion,,,,824834.5,824832.253,813598.782,813601.5,813615.448,824848.919,,0
task  ,flow.Sequence,5_0_0_0_5,2023-01-08T10:24:31.409Z,,sdf,Entwicklung,maendeleo,,uangavu,mshindwa,badiliko,,11216.805000000051,s,completion,,,,824834.7000000011,824832.253,813598.782,813601.2000000011,813615.448,824848.919,,0
deep,flow.Sequence,5_0_0_0_6_0,2023-01-08T10:24:31.410Z,,sdf,Übersicht,kilindo,,mgusano,chipukizi,kulinganisha,,NaN,s,skipped,,,,824835.1000000015,824832.253,,824834.9000000004,,824848.919,,0
Shallow Question,html.Page,5_0_0_0_6_1_0,2023-01-08T10:24:34.795Z,,,Übersicht,kilindo,,mgusano,chipukizi,kulinganisha,,3371.0810000000056,s,form submission,,mgusano,,828220.5,828220,824832.253,824835.2000000011,824848.919,828232.698,,0
"""Richtig""-Screen",canvas.Screen,5_0_0_0_6_1_1,2023-01-08T10:24:34.798Z,,sdf,Übersicht,kilindo,,mgusano,chipukizi,kulinganisha,,NaN,s,skipped,,,,828223.5,828220,,828223.3000000007,,828232.698,,0
"""Falsch""-Screen",canvas.Screen,5_0_0_0_6_1_2,2023-01-08T10:24:39.793Z,,sdf,Übersicht,kilindo,0,mgusano,chipukizi,kulinganisha,,4999.800000000047,s,timeout,,,,833218.5,833215.832,828216.032,828224.6000000015,828232.698,833232.498,,0
shallow,flow.Sequence,5_0_0_0_6_1,2023-01-08T10:24:39.793Z,,sdf,Übersicht,kilindo,,mgusano,chipukizi,kulinganisha,,8366.913000000059,s,completion,,,,833218.9000000004,833215.832,824832.253,824835.2000000011,824848.919,833232.498,,0
task  ,flow.Sequence,5_0_0_0_6,2023-01-08T10:24:39.794Z,,sdf,Übersicht,kilindo,,mgusano,chipukizi,kulinganisha,,8366.913000000059,s,completion,,,,833219.2000000011,833215.832,824832.253,824834.8000000007,824848.919,833232.498,,0
Deep Question,html.Page,5_0_0_0_7_0_0,2023-01-08T10:24:42.308Z,,,System,maongozi,,,,,,2500.702000001096,d,form submission,,1,,835733.8000000007,835733.2000000011,833215.832,833219.4000000004,833232.498,835732.858,,0
"""Richtig""-Screen",canvas.Screen,5_0_0_0_7_0_1,2023-01-08T10:24:42.313Z,,sdf,System,maongozi,,,,,,NaN,d,skipped,,,,835738.7000000011,835733.2000000011,,835738.5,,835732.858,,0
"""Falsch""-Screen",canvas.Screen,5_0_0_0_7_0_2,2023-01-08T10:24:47.293Z,,sdf,System,maongozi,0,,,,,4999.800000000047,d,timeout,,,,840718.8000000007,840715.992,835716.192,835739.7000000011,835732.858,840732.658,,0
deep,flow.Sequence,5_0_0_0_7_0,2023-01-08T10:24:47.294Z,,sdf,System,maongozi,,,,,,7483.493999999948,d,completion,,,,840719.3000000007,840715.992,833215.832,833219.3000000007,833232.498,840732.658,,0
shallow,flow.Sequence,5_0_0_0_7_1,2023-01-08T10:24:47.294Z,,sdf,System,maongozi,,,,,,NaN,d,skipped,,,,840719.6000000015,840715.992,,840719.4000000004,,840732.658,,0
task  ,flow.Sequence,5_0_0_0_7,2023-01-08T10:24:47.294Z,,sdf,System,maongozi,,,,,,7483.493999999948,d,completion,,,,840719.8000000007,840715.992,833215.832,833219.3000000007,833232.498,840732.658,,0
block,flow.Loop,5_0_0_0,2023-01-08T10:24:47.294Z,,sdf,,,,,,,,71350.755,,completion,,,,840720,840715.992,769348.571,769363.7000000011,769365.237,840732.658,,0
weiter,canvas.Screen,5_0_0_1,2023-01-08T10:24:48.389Z,,sdf,,,,,,,,1076.7420000003185,,response,sdf,,keypress(Space),841814.6000000015,841809.4000000004,840715.992,840720.2000000011,840732.658,841849.28,,0
check continue,flow.Sequence,5_0_0,2023-01-08T10:24:48.389Z,,sdf,,,,,,,,72444.16300000041,,completion,,,,841814.9000000004,841809.4000000004,769348.571,769363.7000000011,769365.237,841849.28,,0
Deep Question,html.Page,5_0_1_0_0_0_0,2023-01-08T10:24:57.377Z,,,Lawine,banguko,,,,,,8953.620000000345,d,form submission,,banguko,,850803.2000000011,850802.9000000004,841832.614,841848.3000000007,841849.28,850816.181,,1
"""Richtig""-Screen",canvas.Screen,5_0_1_0_0_0_1,2023-01-08T10:25:02.375Z,,sdfdsf,Lawine,banguko,1,,,,,4999.800000000047,d,timeout,,,,855801.1000000015,855799.315,850799.515,850806,850816.181,855815.981,,1
"""Falsch""-Screen",canvas.Screen,5_0_1_0_0_0_2,2023-01-08T10:25:02.379Z,,sdfdsf,Lawine,banguko,,,,,,NaN,d,skipped,,,,855805.2000000011,855799.315,,855804.9000000004,,855815.981,,1
deep,flow.Sequence,5_0_1_0_0_0,2023-01-08T10:25:02.379Z,,sdfdsf,Lawine,banguko,,,,,,13950.034999999916,d,completion,,,,855805.3000000007,855799.315,841832.614,841848.3000000007,841849.28,855815.981,,1
shallow,flow.Sequence,5_0_1_0_0_1,2023-01-08T10:25:02.380Z,,sdfdsf,Lawine,banguko,,,,,,NaN,d,skipped,,,,855805.4000000004,855799.315,,855805.3000000007,,855815.981,,1
task  ,flow.Sequence,5_0_1_0_0,2023-01-08T10:25:02.380Z,,sdfdsf,Lawine,banguko,,,,,,13950.034999999916,d,completion,,,,855805.5,855799.315,841832.614,841848.3000000007,841849.28,855815.981,,1
deep,flow.Sequence,5_0_1_0_1_0,2023-01-08T10:25:02.380Z,,sdfdsf,Übersicht,kilindo,,mgusano,chipukizi,kulinganisha,,NaN,s,skipped,,,,855805.7000000011,855799.315,,855805.6000000015,,855815.981,,1
Shallow Question,html.Page,5_0_1_0_1_1_0,2023-01-08T10:25:09.529Z,,,Übersicht,kilindo,,mgusano,chipukizi,kulinganisha,,7138.719000001089,s,form submission,,kilindo,,862955.3000000007,862954.7000000011,855799.315,855805.8000000007,855815.981,862966.148,,1
"""Richtig""-Screen",canvas.Screen,5_0_1_0_1_1_1,2023-01-08T10:25:14.525Z,,sdfdsf,Übersicht,kilindo,1,mgusano,chipukizi,kulinganisha,,4999.79999999993,s,timeout,,,,867951.3000000007,867949.282,862949.482,862959.4000000004,862966.148,867965.948,,1
"""Falsch""-Screen",canvas.Screen,5_0_1_0_1_1_2,2023-01-08T10:25:14.531Z,,sdfdsf,Übersicht,kilindo,,mgusano,chipukizi,kulinganisha,,NaN,s,skipped,,,,867956.7000000011,867949.282,,867956.5,,867965.948,,1
shallow,flow.Sequence,5_0_1_0_1_1,2023-01-08T10:25:14.531Z,,sdfdsf,Übersicht,kilindo,,mgusano,chipukizi,kulinganisha,,12133.300999999978,s,completion,,,,867956.9000000004,867949.282,855799.315,855805.8000000007,855815.981,867965.948,,1
task  ,flow.Sequence,5_0_1_0_1,2023-01-08T10:25:14.531Z,,sdfdsf,Übersicht,kilindo,,mgusano,chipukizi,kulinganisha,,12133.300999999978,s,completion,,,,867957.1000000015,867949.282,855799.315,855805.6000000015,855815.981,867965.948,,1
Deep Question,html.Page,5_0_1_0_2_0_0,2023-01-08T10:25:17.727Z,,,System,maongozi,,,,,,3186.552000000025,d,form submission,,2,,871153,871152.5,867949.282,867957.2000000011,867965.948,871166.544,,1
"""Richtig""-Screen",canvas.Screen,5_0_1_0_2_0_1,2023-01-08T10:25:17.730Z,,sdfdsf,System,maongozi,,,,,,NaN,d,skipped,,,,871155.9000000004,871152.5,,871155.8000000007,,871166.544,,1
"""Falsch""-Screen",canvas.Screen,5_0_1_0_2_0_2,2023-01-08T10:25:22.725Z,,sdfdsf,System,maongozi,0,,,,,4999.800000000047,d,timeout,,,,876151.7000000011,876149.678,871149.878,871156.7000000011,871166.544,876166.344,,1
deep,flow.Sequence,5_0_1_0_2_0,2023-01-08T10:25:22.726Z,,sdfdsf,System,maongozi,,,,,,8183.729999999981,d,completion,,,,876152.1000000015,876149.678,867949.282,867957.1000000015,867965.948,876166.344,,1
shallow,flow.Sequence,5_0_1_0_2_1,2023-01-08T10:25:22.726Z,,sdfdsf,System,maongozi,,,,,,NaN,d,skipped,,,,876152.4000000004,876149.678,,876152.2000000011,,876166.344,,1
task  ,flow.Sequence,5_0_1_0_2,2023-01-08T10:25:22.726Z,,sdfdsf,System,maongozi,,,,,,8183.729999999981,d,completion,,,,876152.6000000015,876149.678,867949.282,867957.1000000015,867965.948,876166.344,,1
Deep Question,html.Page,5_0_1_0_3_0_0,2023-01-08T10:25:27.063Z,,,Papier,karatasi,,,,,,4322.256000001449,d,form submission,,1,,880489.2000000011,880488.6000000015,876149.678,876152.8000000007,876166.344,880500.039,,1
"""Richtig""-Screen",canvas.Screen,5_0_1_0_3_0_1,2023-01-08T10:25:27.067Z,,sdfdsf,Papier,karatasi,,,,,,NaN,d,skipped,,,,880493.3000000007,880488.6000000015,,880493.2000000011,,880500.039,,1
"""Falsch""-Screen",canvas.Screen,5_0_1_0_3_0_2,2023-01-08T10:25:32.059Z,,sdfdsf,Papier,karatasi,0,,,,,4999.800000000047,d,timeout,,,,885485.3000000007,885483.173,880483.373,880494.1000000015,880500.039,885499.839,,1
deep,flow.Sequence,5_0_1_0_3_0,2023-01-08T10:25:32.059Z,,sdfdsf,Papier,karatasi,,,,,,9316.82899999991,d,completion,,,,885485.6000000015,885483.173,876149.678,876152.8000000007,876166.344,885499.839,,1
